URL,category,Product Title,Price,Images,Video Source,Metal,Width,Size Info,images_Stone_size,image_metal,image_Finger_Ring_Size,Material,Cut,Clarity,Color,Additional Fatures
https://zenmoissanite.com/collections/bands/products/pave-wedding-band,bands,Sophia (with Pavé),"Rs. 86,700.00","https://zenmoissanite.com/cdn/shop/products/11x9mmEmeraldJasmine_PlainBand_PaveBandSet-18kYG-Size6-6.jpg, https://zenmoissanite.com/cdn/shop/products/11x9mmEmeraldJasmine_PlainBand_PaveBandSet-18kYG-Size6Closeup-6.jpg, https://zenmoissanite.com/cdn/shop/products/11x9mmEmeraldJasmine_PlainBand_PaveBandSet-18kYG-Size6Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/products/11x9mmEmeraldJasmine_PlainBand_PaveBandSet-18kYG-Size6Lifestyle-2.jpg",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","1.5-1.7mm, 1.8-2mm","3 to 6 US, 6.25 to 9 US, 9.25 US and up","2mm version in 14k yellow gold, shown on a size 4.75 finger.",Shown paired with 11x9mm emerald Jasmine ring in two last photos (sold separately).,,Metal of choice + Moissanite from Zen Moissanite,Round Brilliant,VVS1/VVS2,Colourless (DEF range),"Pavé 3/4 around the band. Available in half and full eternity, upon request.Made to orderShips worldwide from Canada"
https://zenmoissanite.com/collections/bands/products/gold-wedding-band,bands,Sophia,"Rs. 49,600.00","https://zenmoissanite.com/cdn/shop/products/1.5mmSophiaBand-14kYG-Size5.5.jpg, https://zenmoissanite.com/cdn/shop/products/1.5mmSophiaBand-14kYG-Size5.5-3.jpg, https://zenmoissanite.com/cdn/shop/products/1.5mmSophiaBand-14kYG-Size5.5-2.jpg",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","1.6mm, 1.8mm, 2mm","3 to 6 US, 6.25 to 9 US, 9.25 US and up",1.5mm band,14k yellow gold,,solid gold (of choice),,,,Simple yet classic wedding band that easily pairs with our designs.
https://zenmoissanite.com/collections/bands/products/round-casey-band,bands,Casey - Round,"Rs. 105,300.00","https://zenmoissanite.com/cdn/shop/files/2.5mmH_ARoundCasey_1.5mm3-4band_-14kYG-Size4.75.jpg, https://zenmoissanite.com/cdn/shop/files/2.5mmH_ARoundCasey_1.5mm3-4band_-14kYG-Size4.75-2.jpg, https://zenmoissanite.com/cdn/shop/files/2.5mmH_ARoundCasey_1.5mm3-4band_-14kYG-Size4.75-3.jpg, https://zenmoissanite.com/cdn/shop/files/2.5mmH_ARoundCasey_1.5mm3-4band_-14kYG-Size4.75Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/files/2.5mmH_ARoundCasey_1.5mm3-4band_-14kYG-Size4.75Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/files/2.5mmH_ARoundCasey_1.5mm3-4band_-14kYG-Size4.75Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/d6b0e90edc034a43ba0a9256d0cc8261.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/Sizecomparison_2mmH_ARoundCasey_1.4mm3-4band_-14kRG-Size4.75_3mmH_ARoundCasey_2mm3-4band_-18kWG-Size6.5-Lifestyle_1.jpg, https://zenmoissanite.com/cdn/shop/files/Sizecomparison_2mmH_ARoundCasey_1.4mm3-4band_-14kRG-Size4.75_3mmH_ARoundCasey_2mm3-4band_-18kWG-Size6.5-Lifestyle-1_2.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/d6b0e90edc034a43ba0a9256d0cc8261/d6b0e90edc034a43ba0a9256d0cc8261.HD-1080p-7.2Mbps-13823844.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","2mm, 2.5mm, 3mm, 3.5mm","3 to 6 US, 6.25 to 9 US, 9.25 US and up",Single band images:,2.5mm band,14k yellow gold,gold of choice + Moissanite from Zen Moissanite,Round Brilliant,VVS,Colourless (EF range),Pavé 3/4 around the band.
https://zenmoissanite.com/collections/bands/products/the-nicole-oval-shared-prong-eternity-band,bands,Nicole - Oval,"Rs. 179,500.00","https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5-5.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5-2.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5-3.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5-4.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5-6.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5Lifestyle-8.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5Lifestyle-7.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/5x3mmCrushedIceOvalNicole-14kYG-Size6.5Lifestyle-4.jpg",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","3x2mm (half eternity), 3x2mm (3/4 eternity), 3x2mm (full eternity), 4x2.5mm (half eternity), 4x2.5mm (3/4 eternity), 4x2.5mm (full eternity), 5x3mm (half eternity), 5x3mm (3/4 eternity), 5x3mm (full eternity), 6x4mm (half eternity), 6x4mm (3/4 eternity), 6x4mm (full eternity)","3 - 5.75, 6 - 8.75, 9 - 10, 11 and up",5x3mm crushed ice ovals,3/4 eternit,14k yellow gold,Metal of choice + Moissanite from Zen Moissanite,"Oval (antique, hybrid, brilliant or crushed ice)",VVS1/VVS2,Colorless (DEF),
https://zenmoissanite.com/collections/bands/products/the-alyssa-band-curved-band,bands,Alyssa,"Rs. 99,100.00","https://zenmoissanite.com/cdn/shop/files/Alyssa_1.7mmplainband_-14kYG-Size6.25-6_68969705-d907-4ee1-95a8-ecde4e540924.jpg, https://zenmoissanite.com/cdn/shop/files/Alyssa_1.7mmplainband_-14kYG-Size6.25-7_049d0112-a1d6-4dd3-9671-5532d6741976.jpg, https://zenmoissanite.com/cdn/shop/files/Alyssa_1.7mmplainband_-14kYG-Size6.25-8_c403eab6-9bc1-41a1-a7de-ea1add41a24b.jpg, https://zenmoissanite.com/cdn/shop/files/Alyssa_1.7mmplainband_-14kYG-Size6.25-9_bd52f5c7-d09f-4b04-83d8-f6d77cb19557.jpg, https://zenmoissanite.com/cdn/shop/files/Alyssa_1.7mmplainband_-14kYG-Size6.25-10_ff7b188f-ed5c-4f54-9867-db66657b5322.jpg, https://zenmoissanite.com/cdn/shop/files/BandComparison_Victoria_Alyssa-14kYG-1.jpg, https://zenmoissanite.com/cdn/shop/files/BandComparison_Victoria_Alyssa-14kYG-4.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/d58f45afe1dc46a18c5e15f781dd7128.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/d58f45afe1dc46a18c5e15f781dd7128/d58f45afe1dc46a18c5e15f781dd7128.HD-1080p-7.2Mbps-20730013.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","3 to 6 US, 6.25 to 9 US, 9.25 US and up",,Alyssa band & Victoria band (sold separately) in 14k yellow gold,Shown on a size 4.75 finger.,,Metal of choice + Moissanite from Zen Moissanite,,VVS1,Colourless (EF range),"Cut & size (sometimes customized to fit to main engagement ring):- Marquise (x1)- Round brilliant (x4)Low profile, curved band design that can fit with most ring designs."
https://zenmoissanite.com/collections/bands/products/the-nicole-band-round,bands,Nicole - Round,"Rs. 117,700.00","https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6-3.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6-7.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6-6.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6-8.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6Closeup.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/3.5mmH_ARoundNicole_1.6mmband_-14kYG-Size6-5.jpg, https://zenmoissanite.com/cdn/shop/products/866e0ba211c5427a88dd7d9b6ef8bb10.thumbnail.0000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/866e0ba211c5427a88dd7d9b6ef8bb10/866e0ba211c5427a88dd7d9b6ef8bb10.HD-1080p-7.2Mbps.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","2.5mm, 3mm, 3.5mm, 4mm, 4.5mm, 5mm","3 to 6 US, 6.25 to 9 US, 9.25 US and up",3.5mm version,14k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Round Brilliant,VVS1/VVS2,Colorless (DEF),"Pavé 3/4 around the band. Available in half and full eternity, upon request."
https://zenmoissanite.com/collections/bands/products/gold-v-band,bands,Juliane,"Rs. 49,600.00","https://zenmoissanite.com/cdn/shop/products/InStock_Julianne_1.6mmplainband_-14kYG-Size6.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Julianne_1.6mmplainband_-14kYG-Size6-2.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Julianne_1.6mmplainband_-14kYG-Size6-3.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Julianne_1.6mmplainband_-14kYG-Size6-4.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Julianne_1.6mmplainband_-14kYG-Size6-5.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Julianne_1.6mmplainband_-14kYG-Size6Closeup-2.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Julianne_1.6mmplainband_-14kYG-Size6Closeup-5.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Ringset_10x7mm_2.1cte_BrilliantPear5-prongMichelle_1.6mmplainband_-14kYG-Size6pairedwithJulianne_1.6mmplainband_-14kYG-Size6-5.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Ringset_10x7mm_2.1cte_BrilliantPear5-prongMichelle_1.6mmplainband_-14kYG-Size6pairedwithJulianne_1.6mmplainband_-14kYG-Size6-5_1.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Ringset_10x7mm_2.1cte_BrilliantPear5-prongMichelle_1.6mmplainband_-14kYG-Size6pairedwithJulianne_1.6mmplainband_-14kYG-Size6-2.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Ringset_10x7mm_2.1cte_BrilliantPear5-prongMichelle_1.6mmplainband_-14kYG-Size6pairedwithJulianne_1.6mmplainband_-14kYG-Size6.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_Ringset_10x7mm_2.1cte_BrilliantPear5-prongMichelle_1.6mmplainband_-14kYG-Size6pairedwithJulianne_1.6mmplainband_-14kYG-Size6-3.jpg",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","1.6mm, 1.8mm, 2mm","3 to 6 US, 7 to 9 US, 10 US and up",1.5mm band,14k yellow gold,Shown as a set: 1.5mm Juliane band & 10x7mm pear brilliant Michelle ring (both in 14k yellow gold).,solid gold (of choice),,,,"A twist on our classic wedding band, this V band easily pairs with our designs."
https://zenmoissanite.com/collections/bands/products/lili-band-marquise-eternity-band,bands,Lili - Marquise,"Rs. 117,700.00","https://zenmoissanite.com/cdn/shop/products/4x2mmMarquiseLili_1.7mm1-2band_-14kYG-Size4.75.jpg, https://zenmoissanite.com/cdn/shop/products/4x2mmMarquiseLili_1.7mm1-2band_-14kYG-Size4.75-2.jpg, https://zenmoissanite.com/cdn/shop/products/4x2mmMarquiseLili_1.7mm1-2band_-14kYG-Size4.75-3.jpg, https://zenmoissanite.com/cdn/shop/products/d04033950cd04a319d617f5ae26e41f0.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/d04033950cd04a319d617f5ae26e41f0/d04033950cd04a319d617f5ae26e41f0.HD-1080p-7.2Mbps-13210353.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","3 to 6 US, 6.25 to 9 US, 9.25 US and up",,14k yellow gold,,,Metal of choice + Moissanite from Zen Moissanite,Marquise,VVS1-VVS2,Colourless (DEF range),"Size: 4x2mm (each marquise)3/4 eternity (customizable)Low profile, shared prong design."
https://zenmoissanite.com/collections/bands/products/rhonda-band,bands,Rhonda Band,"Rs. 111,500.00","https://zenmoissanite.com/cdn/shop/files/5.5x4x3mmTrapezoid_1.6mmplainband_-14kYG-Size5.5_bcb3617b-9943-4c4e-b73d-c90c864f4aad.jpg, https://zenmoissanite.com/cdn/shop/files/5.5x4x3mmTrapezoid_1.6mmplainband_-14kYG-Size5.52_47c81d3f-399b-40a5-91ad-449f0aa3544d.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/368f4257e1d846ddb9a808203fef7f7c.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/RingSet_10x7mm_2.5cte_BrilliantOval4-prongRandi_1.7mmplainband_-14kYG-Size5.75pairedwith5.5x4x3mmTrapezoid_1.6mmplainband_-14kYG-Size5.5.jpg, https://zenmoissanite.com/cdn/shop/files/RingSet_10x7mm_2.5cte_BrilliantOval4-prongRandi_1.7mmplainband_-14kYG-Size5.75pairedwith5.5x4x3mmTrapezoid_1.6mmplainband_-14kYG-Size5.53.jpg, https://zenmoissanite.com/cdn/shop/files/RingSet_10x7mm_2.5cte_BrilliantOval4-prongRandi_1.7mmplainband_-14kYG-Size5.75pairedwith5.5x4x3mmTrapezoid_1.6mmplainband_-14kYG-Size5.52.jpg, https://zenmoissanite.com/cdn/shop/files/RingSet_10x7mm_2.5cte_BrilliantOval4-prongRandi_1.7mmplainband_-14kYG-Size5.75pairedwith5.5x4x3mmTrapezoid_1.6mmplainband_-14kYG-Size5.54.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/fb96a31a23564b1fb8605b60a0446389.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/286b90a1811b4a99aa86750eea1447cf.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/368f4257e1d846ddb9a808203fef7f7c/368f4257e1d846ddb9a808203fef7f7c.HD-1080p-7.2Mbps-29666404.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","5x3.5mm, 5.5x4mm, 6x4.5mm",,5.5x4mm trapezoids (step cut),14k yellow gold,Shown with a 10x7mm oval brilliant Harley ring (sold separately).,Metal of choice + Moissanite from Zen Moissanite,,VVS1,Colourless (EF range),- Trapezoid (step cut or brilliant)
https://zenmoissanite.com/collections/bands/products/casey-asscher,bands,Casey - Asscher,"Rs. 105,300.00","https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5-2.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5-3.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5-5.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5-4.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5Lifestyle-7.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5Lifestyle-9.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5Lifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_2mmAsscherCasey_1.6mm3_4band_-14kYG-Size5.5Lifestyle-8.jpg, https://zenmoissanite.com/cdn/shop/products/87632f3a309a404d932c0474e4840771.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/87632f3a309a404d932c0474e4840771/87632f3a309a404d932c0474e4840771.HD-1080p-7.2Mbps-9711629.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","2mm, 2.5mm, 3mm","3 to 6 US, 6.25 to 9 US, 9.25 US and up",2mm band in 14k yellow gold,,,gold of choice + Moissanite from Zen Moissanite,Asscher,VVS,Colourless (EF range),Pavé 3/4 around the band.
https://zenmoissanite.com/collections/bands/products/mens-gold-wedding-band,bands,Ezra,"Rs. 99,100.00","https://zenmoissanite.com/cdn/shop/products/4mmMen_sGoldBand-14kYG-Size10.jpg, https://zenmoissanite.com/cdn/shop/products/4mmMen_sGoldBand-14kYG-Size10Lifestyle-8.jpg, https://zenmoissanite.com/cdn/shop/products/4mmMen_sGoldBand-14kYG-Size10Lifestyle-5.jpg",,,"4mm, 4.5mm, 5mm, 5.5mm, 6mm","3 to 6.75 US, 7 to 9 US, 9.25 to 11 US, 11.25 US and up",4mm band,14k yellow gold,Shown on a size 10 finger,,,,,Solid gold (of choice) curved polished band.
https://zenmoissanite.com/collections/bands/products/lab-grown-emerald-faux-eternity-band,bands,Faux Nicole - Lab-Emeralds,"Rs. 117,700.00","https://zenmoissanite.com/cdn/shop/files/5x3mmLab-EmeraldFauxNicole_1.6mm1_4band_-18kYG-size6.75.jpg, https://zenmoissanite.com/cdn/shop/files/5x3mmLab-EmeraldFauxNicole_1.6mm1_4band_-18kYG-size6.753.jpg, https://zenmoissanite.com/cdn/shop/files/5x3mmLab-EmeraldFauxNicole_1.6mm1_4band_-18kYG-size6.752.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/bb22db80b03745a79e8b68e86ddd969b.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/9b79ee1d29ce438199b83144e2567872.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/2f97640ba97241d9bccc195106e36374.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/bb22db80b03745a79e8b68e86ddd969b/bb22db80b03745a79e8b68e86ddd969b.HD-1080p-7.2Mbps-39339655.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",Lab-Emerald,,14k yellow gold,Show on a size 4.75 finger,,Metal of choice + Lab-Grown Emeralds,Emerald (Step Cut),,,Size : 5x3mm (5 pieces)
https://zenmoissanite.com/collections/bands/products/pear-eternity-band,bands,Iris - Pear,"Rs. 142,400.00","https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25-2.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25-3.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25-4.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25-5.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25-6.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Closeup-2.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Closeup-3.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Closeup-4.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Closeup-5.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Closeup-6.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Closeup.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Lifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/products/3x2mmBrilliantPearIris_1.7mm3_4band_-14kYG-Size5.25Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/f8cc9ed91ed141b2bde26e50afa87d7e.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/f8cc9ed91ed141b2bde26e50afa87d7e/f8cc9ed91ed141b2bde26e50afa87d7e.HD-1080p-7.2Mbps-8735970.mp4?v=0,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","3 to 6 US, 7 to 9 US, 10 US and up",,14k yellow gold,,,Metal of choice + Moissanite from Zen Moissanite,Pear (crushed ice or brilliant),VVS1/VVS2,Colorless (DEF),Milgrain detail around pearsSize: 3x2mm (each pear)Stones cover 3/4 around the band (customizable)
